Distance_ft,aerial_vf2f_dep,aerial_vf2f_ponddep,aerial_f2m_dep,aerial_f2m_ponddep,aerial_m2c_dep,aerial_m2c_ponddep,aerial_c2vc_dep,aerial_c2vc_ponddep
0,0.50013,0.24215,0.49997,0.12545,0.49990,0.08849,0.49988,0.06812
6.5616,0.44385,0.23150,0.37451,0.11307,0.34808,0.07588,0.32498,0.05558
13.1232,0.40483,0.22222,0.29849,0.10383,0.25638,0.06707,0.22961,0.04727
19.6848,0.37772,0.21386,0.25004,0.09651,0.20046,0.06055,0.17182,0.04135
26.2464,0.35714,0.20615,0.21380,0.09048,0.16262,0.05548,0.13469,0.03691
32.808,0.34124,0.19893,0.19455,0.08527,0.13789,0.05137,0.10902,0.03344
39.3696,0.32594,0.19214,0.18448,0.08049,0.12373,0.04785,0.08941,0.03068
45.9312,0.31045,0.18577,0.17591,0.07597,0.11517,0.04467,0.07786,0.02839
52.4928,0.29537,0.17982,0.16780,0.07169,0.10809,0.04171,0.07139,0.02637
59.0544,0.28281,0.17425,0.15421,0.06772,0.10351,0.03893,0.06680,0.02452
65.616,0.27393,0.16895,0.14010,0.06417,0.09463,0.03633,0.06141,0.02282
72.1776,0.26665,0.16383,0.12693,0.06101,0.08386,0.03403,0.05416,0.02130
78.7392,0.25825,0.15887,0.11785,0.05818,0.07296,0.03206,0.04707,0.02001
85.3008,0.24764,0.15414,0.11144,0.05557,0.06549,0.03036,0.04259,0.01888
91.8624,0.23653,0.14970,0.10675,0.05311,0.06158,0.02883,0.03939,0.01787
98.424,0.22595,0.14555,0.09950,0.05082,0.05815,0.02740,0.03685,0.01695
104.9856,0.21636,0.14168,0.09232,0.04873,0.05405,0.02608,0.03488,0.01608
111.5472,0.20812,0.13804,0.08570,0.04683,0.04877,0.02489,0.03241,0.01529
118.1088,0.20142,0.13460,0.07923,0.04513,0.04553,0.02383,0.02967,0.01457
124.6704,0.19589,0.13130,0.07425,0.04358,0.04294,0.02285,0.02748,0.01392
131.232,0.19082,0.12811,0.07032,0.04216,0.03994,0.02195,0.02549,0.01333
137.7936,0.18573,0.12502,0.06719,0.04083,0.03762,0.02112,0.02381,0.01280
144.3552,0.18058,0.12205,0.06459,0.03958,0.03578,0.02035,0.02255,0.01230
150.9168,0.17474,0.11921,0.06234,0.03838,0.03429,0.01963,0.02143,0.01184
157.4784,0.16776,0.11654,0.06035,0.03724,0.03312,0.01893,0.02036,0.01141
164.04,0.16101,0.11404,0.05819,0.03615,0.03164,0.01828,0.01934,0.01101
170.6016,0.15545,0.11171,0.05522,0.03513,0.03011,0.01766,0.01839,0.01064
177.1632,0.15130,0.10949,0.05197,0.03419,0.02858,0.01709,0.01746,0.01029
183.7248,0.14767,0.10735,0.04928,0.03333,0.02724,0.01655,0.01662,0.00997
190.2864,0.14453,0.10529,0.04757,0.03253,0.02607,0.01605,0.01580,0.00967
196.848,0.14167,0.10328,0.04623,0.03176,0.02500,0.01558,0.01507,0.00939
