Aerial vf2f,Aerial f2m,Aerial m2c,aerial c2vc,Ground low fine 90,ground high fine 90,ground low m2c 90,Ground high m2c 90,Airblast vineyard 50,Airblast Orchard 50
24.3000,12.7000,8.9200,6.8800,2.6800,6.1600,1.0900,1.6500,0.2430,2.1800
23.2000,11.4000,7.6500,5.6200,1.5500,4.2500,0.6120,0.9840,0.1660,1.6400
22.3000,10.5000,6.7600,4.7900,1.2500,3.4300,0.5270,0.8410,0.1270,1.3000
21.4000,9.7600,6.1000,4.1900,1.0900,2.9400,0.4770,0.7570,0.1040,1.0700
20.7000,9.1500,5.5900,3.7500,0.9800,2.6100,0.4420,0.6980,0.0884,0.9000
20.0000,8.6200,5.1800,3.4000,0.9010,2.3600,0.4150,0.6520,0.0771,0.7750
19.3000,8.1500,4.8300,3.1200,0.8380,2.1700,0.3920,0.6140,0.0686,0.6780
18.7000,7.7000,4.5100,2.8900,0.7860,2.0200,0.3730,0.5810,0.0619,0.6020
18.1000,7.2700,4.2200,2.6900,0.7430,1.8900,0.3560,0.5530,0.0564,0.5400
17.5000,6.8700,3.9300,2.5100,0.7050,1.7700,0.3420,0.5290,0.0519,0.4900
17.0000,6.5100,3.6700,2.3300,0.6710,1.6700,0.3280,0.5070,0.0480,0.4470
16.5000,6.1900,3.4400,2.1800,0.6420,1.5900,0.3170,0.4870,0.0447,0.4110
16.0000,5.9000,3.2400,2.0400,0.6150,1.5100,0.3060,0.4690,0.0419,0.3810
15.5000,5.6400,3.0700,1.9300,0.5910,1.4400,0.2960,0.4520,0.0393,0.3540
15.1000,5.3900,2.9200,1.8300,0.5690,1.3700,0.2860,0.4370,0.0371,0.3310
14.6000,5.1600,2.7800,1.7400,0.5480,1.3100,0.2780,0.4230,0.0351,0.3100
14.3000,4.9500,2.6500,1.6500,0.5300,1.2600,0.2700,0.4090,0.0333,0.2920
13.9000,4.7700,2.5400,1.5700,0.5120,1.2100,0.2620,0.3970,0.0316,0.2760
13.5000,4.5900,2.4300,1.5000,0.4960,1.1600,0.2550,0.3850,0.0301,0.2620
13.2000,4.4400,2.3200,1.4300,0.4810,1.1200,0.2490,0.3750,0.0288,0.2490
12.9000,4.2900,2.2300,1.3700,0.4670,1.0800,0.2430,0.3640,0.0275,0.2370
12.6000,4.1500,2.1500,1.3200,0.4530,1.0400,0.2370,0.3550,0.0264,0.2260
12.3000,4.0300,2.0700,1.2700,0.4410,1.0100,0.2310,0.3450,0.0253,0.2160
12.0000,3.9000,2.0000,1.2200,0.4290,0.9740,0.2260,0.3370,0.0243,0.2080
11.7000,3.7900,1.9300,1.1800,0.4180,0.9430,0.2210,0.3290,0.0234,0.1990
11.5000,3.6800,1.8700,1.1400,0.4070,0.9130,0.2160,0.3210,0.0225,0.1920
11.3000,3.5800,1.8100,1.1000,0.3970,0.8850,0.2110,0.3130,0.0217,0.1850
11.0000,3.4900,1.7500,1.0600,0.3880,0.8590,0.2070,0.3060,0.0209,0.1780
10.8000,3.4000,1.7000,1.0300,0.3780,0.8340,0.2030,0.2990,0.0202,0.1720
10.6000,3.3200,1.6500,1.0000,0.3700,0.8100,0.1990,0.2930,0.0195,0.1660
10.4000,3.2500,1.6000,0.9720,0.3610,0.7870,0.1950,0.2860,0.0189,0.1610
10.2000,3.1700,1.5500,0.9460,0.3530,0.7660,0.1910,0.2800,0.0183,0.1560
10.0000,3.1000,1.5100,0.9210,0.3460,0.7450,0.1880,0.2750,0.0177,0.1510
9.8400,3.0300,1.4700,0.8980,0.3380,0.7250,0.1840,0.2690,0.0172,0.1470
9.6700,2.9600,1.4300,0.8760,0.3310,0.7060,0.1810,0.2640,0.0167,0.1430
9.5100,2.9000,1.4000,0.8560,0.3250,0.6880,0.1780,0.2580,0.0162,0.1390
9.3500,2.8400,1.3700,0.8370,0.3180,0.6710,0.1750,0.2540,0.0158,0.1350
9.2000,2.7800,1.3300,0.8190,0.3120,0.6540,0.1720,0.2490,0.0153,0.1320
9.0600,2.7300,1.3000,0.8020,0.3060,0.6390,0.1690,0.2440,0.0149,0.1280
8.9200,2.6800,1.2800,0.7860,0.3000,0.6230,0.1660,0.2400,0.0145,0.1250
8.7800,2.6300,1.2500,0.7710,0.2940,0.6090,0.1630,0.2350,0.0141,0.1220
8.6500,2.5800,1.2200,0.7560,0.2890,0.5940,0.1610,0.2310,0.0138,0.1190
8.5200,2.5300,1.2000,0.7420,0.2840,0.5810,0.1580,0.2270,0.0134,0.1170
8.4000,2.4900,1.1800,0.7290,0.2790,0.5680,0.1560,0.2230,0.0131,0.1140
8.2900,2.4500,1.1500,0.7160,0.2740,0.5550,0.1530,0.2190,0.0127,0.1120
8.1700,2.4100,1.1300,0.7040,0.2690,0.5430,0.1510,0.2160,0.0124,0.1090
8.0600,2.3700,1.1100,0.6920,0.2650,0.5310,0.1490,0.2120,0.0121,0.1070
7.9500,2.3300,1.0900,0.6810,0.2600,0.5200,0.1470,0.2090,0.0119,0.1050
7.8500,2.2900,1.0800,0.6700,0.2560,0.5090,0.1450,0.2050,0.0116,0.1030
7.7500,2.2600,1.0600,0.6600,0.2520,0.4980,0.1430,0.2020,0.0113,0.1010
7.6500,2.2300,1.0400,0.6500,0.2480,0.4880,0.1410,0.1990,0.0111,0.0986
7.5500,2.1900,1.0300,0.6400,0.2440,0.4780,0.1390,0.1960,0.0108,0.0967
7.4600,2.1600,1.0100,0.6300,0.2400,0.4690,0.1370,0.1930,0.0106,0.0949
7.3700,2.1300,0.9960,0.6210,0.2360,0.4590,0.1350,0.1900,0.0104,0.0932
7.2900,2.1000,0.9820,0.6120,0.2330,0.4500,0.1330,0.1870,0.0101,0.0915
7.2000,2.0800,0.9680,0.6030,0.2290,0.4420,0.1310,0.1840,0.0099,0.0899
7.1200,2.0500,0.9550,0.5950,0.2260,0.4330,0.1300,0.1820,0.0097,0.0884
7.0400,2.0200,0.9430,0.5870,0.2230,0.4250,0.1280,0.1790,0.0095,0.0868
6.9600,2.0000,0.9310,0.5780,0.2190,0.4170,0.1260,0.1760,0.0093,0.0854
6.8800,1.9700,0.9190,0.5700,0.2160,0.4090,0.1250,0.1740,0.0092,0.0840
6.8100,1.9500,0.9080,0.5630,0.2130,0.4020,0.1230,0.1710,0.0090,0.0826
6.7400,1.9300,0.8970,0.5550,0.2100,0.3940,0.1220,0.1690,0.0088,0.0813
6.6700,1.9100,0.8870,0.5480,0.2070,0.3870,0.1200,0.1670,0.0086,0.0800
6.6000,1.8800,0.8770,0.5400,0.2040,0.3800,0.1190,0.1650,0.0085,0.0788
6.5400,1.8600,0.8670,0.5330,0.2020,0.3740,0.1170,0.1620,0.0083,0.0776
6.4700,1.8400,0.8580,0.5260,0.1990,0.3670,0.1160,0.1600,0.0082,0.0764
6.4100,1.8200,0.8490,0.5190,0.1960,0.3610,0.1150,0.1580,0.0080,0.0753
6.3500,1.8000,0.8400,0.5130,0.1940,0.3550,0.1130,0.1560,0.0079,0.0741
6.2900,1.7900,0.8310,0.5060,0.1910,0.3490,0.1120,0.1540,0.0077,0.0731
